20010101,1,11,6,2,9
20010102,6,8,3,1,4
20010103,10,11,5,9,6
20010104,1,7,4,6,8
20010105,2,6,5,3,1
20010106,5,2,4,11,7
20010107,9,1,6,5,2
20010108,9,2,8,7,10
20010109,1,5,4,9,10
20010110,3,2,1,7,5
20010111,11,3,6,9,1
20010112,2,7,11,3,9
20010113,11,9,6,2,5
20010114,3,4,11,7,8
20010115,5,10,1,11,8
20010116,5,7,3,2,8
20010117,4,2,5,6,10
20010118,11,9,6,2,3
20010119,2,8,1,4,7
20010120,10,5,8,3,11
20010121,1,6,9,4,2
20010122,5,3,4,1,2
20010123,1,6,10,4,3
20010124,6,3,11,7,4
20010125,6,5,3,7,10
20010126,11,9,7,10,1
20010127,11,3,2,8,10
20010128,10,9,7,1,2
20010129,2,1,9,11,6
20010130,5,7,4,1,9
20010131,7,1,8,3,4
20010132,2,8,3,7,6
20010133,4,3,6,11,5
20010134,3,10,7,2,9
20010135,2,1,4,7,5
20010136,4,6,11,7,2
20010137,3,10,11,5,2
20010138,6,11,3,8,10
20010139,2,11,8,1,9
20010140,8,7,6,4,3
20010141,3,1,8,9,11
20010142,7,3,8,11,1
20010143,6,10,5,7,9
20010144,2,5,8,7,3
20010145,7,3,5,1,4
20010201,4,3,1,8,7
20010202,8,11,10,3,2
20010203,4,5,10,2,6
20010204,11,4,10,8,9
20010205,7,11,1,3,5
20010206,6,3,7,9,11
20010207,7,8,3,2,1
20010208,7,3,2,9,4
20010209,3,8,4,11,6
20010210,4,2,8,9,6
20010211,3,1,9,5,8
20010212,8,6,9,4,3
20010213,8,2,6,11,7
20010214,1,9,6,5,10
20010215,11,10,3,4,5
20010216,6,8,4,5,1
20010217,10,9,2,3,1
20010218,1,2,3,8,4
20010219,1,7,8,6,3
20010220,6,10,3,4,7
20010221,3,5,4,7,10
20010222,3,9,4,5,2
20010223,10,11,3,6,8
20010224,7,1,9,11,6
20010225,7,1,9,11,10
20010226,4,8,11,7,2
20010227,6,9,7,11,2
20010228,11,4,7,10,3
20010229,11,9,6,3,4
20010230,7,10,2,3,4
20010231,4,9,5,7,2
20010232,8,2,10,11,5
20010233,2,8,9,4,6
20010234,9,7,10,4,8
20010235,3,11,10,2,4
20010236,3,8,9,10,2
20010237,4,11,2,9,3
20010238,8,3,7,10,6
20010239,9,11,6,1,5
20010240,8,5,3,6,4
20010241,2,1,3,7,10
20010242,4,8,3,6,1
20010243,2,7,11,5,9
20010244,9,1,11,7,3
20010245,1,7,11,6,4
20010301,2,1,10,9,3
20010302,6,9,10,1,5
20010303,4,10,1,9,5
20010304,10,5,6,2,1
20010305,4,10,2,1,3
20010306,11,8,7,6,5
20010307,9,10,3,6,8
20010308,6,5,1,3,4
20010309,11,4,6,1,8
20010310,7,11,2,1,9
20010311,5,3,4,2,9
20010312,10,6,5,9,3
20010313,9,7,5,2,3
20010314,6,7,2,11,9
20010315,10,1,3,11,6
20010316,10,6,11,2,9
20010317,1,5,10,6,2
20010318,1,2,8,10,11
20010319,5,8,9,4,6
20010320,9,8,3,1,10
20010321,11,1,7,4,2
20010322,9,8,4,2,7
20010323,2,6,10,5,8
20010324,7,1,9,10,5
20010325,4,8,6,5,1
20010326,1,6,10,9,7
20010327,9,7,10,5,3
20010328,9,7,2,4,6
20010329,8,7,3,9,4
20010330,7,10,8,4,11
20010331,2,6,7,10,5
20010332,4,9,7,11,5
20010333,7,8,9,1,10
20010334,6,8,7,1,9
20010335,6,11,7,1,5
20010336,5,8,10,4,2
20010337,6,7,10,1,9
20010338,5,2,7,8,11
20010339,3,5,4,1,6
20010340,10,4,9,2,11
20010341,5,4,9,6,7
20010342,10,5,2,8,3
20010343,5,6,7,3,4
20010344,10,11,7,3,6
20010345,4,7,3,9,11
20010401,10,5,7,6,8
20010402,1,10,11,4,5
20010403,2,7,4,6,8
20010404,5,4,7,11,3
20010405,5,2,7,10,9
20010406,10,11,1,9,3
20010407,3,8,9,4,7
20010408,10,2,3,9,1
20010409,11,4,10,8,5
20010410,5,2,6,1,9
20010411,2,1,9,7,8
20010412,7,3,2,6,4
20010413,6,9,7,11,2
20010414,11,8,3,2,5
20010415,9,7,5,10,11
20010416,9,10,11,6,7
20010417,1,11,4,7,8
20010418,1,8,11,10,4
20010419,3,4,9,6,1
20010420,1,8,4,11,5
20010421,5,1,6,10,7
20010422,9,6,1,2,4
20010423,2,11,6,10,9
20010424,6,5,9,1,4
20010425,8,11,7,1,3
20010426,11,4,2,9,8
20010427,9,10,3,6,2
20010428,3,8,2,1,6
20010429,11,1,3,6,5
20010430,2,4,1,6,3
20010431,2,7,3,1,5
20010432,6,10,7,5,11
20010433,8,6,5,1,10
20010434,9,8,6,11,2
20010435,3,9,2,6,4
20010436,8,10,3,7,4
20010437,11,4,6,10,3
20010438,8,4,1,11,7
20010439,2,5,11,7,4
20010440,5,7,8,2,9
20010441,11,8,7,6,5
20010442,9,11,4,7,3
20010443,8,1,3,5,10
20010444,2,3,10,4,1
20010445,10,1,2,9,3
20010501,11,7,4,5,6
20010502,10,1,11,7,8
20010503,10,3,1,7,11
20010504,1,2,6,10,11
20010505,7,11,4,6,2
20010506,3,2,1,6,11
20010507,6,5,3,1,8
20010508,9,4,6,3,11
20010509,1,2,5,6,8
20010510,8,6,2,5,10
20010511,10,6,3,9,4
20010512,9,11,1,5,3
20010513,1,8,10,2,5
20010514,1,9,11,10,5
20010515,1,8,10,9,6
20010516,3,9,1,10,7
20010517,11,4,8,9,6
20010518,6,3,5,9,11
20010519,2,8,10,9,3
20010520,8,5,9,4,7
20010521,6,4,7,1,5
20010522,9,1,10,8,3
20010523,9,6,3,8,4
20010524,9,7,2,4,5
20010525,5,8,1,9,2
20010526,1,5,9,2,8
20010527,3,2,5,8,11
20010528,6,2,1,9,10
20010529,11,6,7,8,9
20010530,8,11,10,4,1
20010531,4,8,5,3,11
20010532,2,11,8,9,3
20010533,7,3,4,5,9
20010534,8,5,6,4,9
20010535,4,9,5,10,1
20010536,1,8,10,6,3
20010537,9,5,11,3,6
20010538,6,8,10,7,5
20010539,4,2,11,3,7
20010540,1,3,7,9,5
20010541,10,5,9,6,1
20010542,11,5,7,3,9
20010543,5,1,7,6,4
20010544,1,3,11,8,5
20010545,4,10,9,3,5
20010601,8,2,9,4,7
20010602,10,1,8,2,11
20010603,9,5,11,2,4
20010604,2,10,8,11,9
20010605,8,3,11,7,1
20010606,2,7,11,5,10
20010607,9,4,5,10,6
20010608,11,9,5,7,3
20010609,3,7,6,2,10
20010610,1,3,2,8,4
20010611,6,2,1,11,4
20010612,6,10,3,11,4
