18110101,11,5,8,6,7
18110102,11,1,9,5,10
18110103,6,1,5,11,3
18110104,3,2,9,4,7
18110105,10,8,3,1,4
18110106,11,1,6,3,4
18110107,9,4,11,6,8
18110108,4,10,3,9,11
18110109,5,6,4,1,8
18110110,7,9,8,6,5
18110111,9,4,5,3,1
18110112,8,1,5,3,9
18110113,9,5,7,8,11
18110114,7,8,1,10,2
18110115,11,7,6,1,8
18110116,6,9,7,3,11
18110117,11,8,3,4,10
18110118,7,10,6,1,11
18110119,5,4,7,2,8
18110120,8,4,3,2,7
18110121,3,10,6,5,1
18110122,4,5,3,2,9
18110123,8,10,2,6,3
18110124,10,8,6,4,9
18110125,6,4,7,3,1
18110126,11,1,3,2,9
18110127,8,2,4,1,3
18110128,4,1,7,9,2
18110129,8,3,5,9,4
18110130,10,2,6,1,7
18110131,7,8,11,6,4
18110132,10,11,3,4,7
18110133,2,1,3,5,11
18110134,7,6,9,2,4
18110135,3,7,5,4,1
18110136,6,1,9,2,3
18110137,1,6,11,8,2
18110138,3,7,1,8,11
18110139,6,5,7,3,9
18110140,8,11,3,7,2
18110141,2,7,9,3,4
18110142,7,8,11,10,2
18110143,8,1,2,4,6
18110144,5,6,10,7,2
18110145,5,11,3,7,2
18110146,2,6,4,9,5
18110147,11,9,5,6,10
18110148,5,1,8,4,10
18110149,7,6,3,1,8
18110150,9,6,3,7,11
18110151,9,5,3,10,4
18110152,11,3,8,2,9
18110153,5,11,3,7,9
18110154,10,11,6,5,7
18110155,10,8,1,4,5
18110156,1,9,8,6,7
18110157,11,2,6,3,8
18110158,5,3,8,2,4
18110159,6,8,10,1,2
18110160,5,6,3,4,7
18110161,4,9,3,2,6
18110162,11,1,10,3,7
18110163,7,11,2,10,4
18110164,1,8,7,11,9
18110165,9,11,4,2,6
18110166,2,11,6,9,4
18110167,1,9,8,7,11
18110168,4,6,1,8,9
18110169,11,2,9,8,7
18110170,2,4,5,7,11
18110171,2,6,10,1,9
18110172,11,1,6,5,7
18110173,1,8,4,5,9
18110174,1,6,7,8,3
18110175,2,11,9,8,7
18110176,11,9,6,2,3
18110177,2,10,7,5,3
18110178,7,10,8,3,6
18110179,5,7,6,8,1
18110180,4,9,10,2,8
18110181,6,8,3,11,4
18110201,5,8,2,11,1
18110202,3,1,8,9,10
18110203,6,3,10,7,4
18110204,8,4,10,1,7
18110205,7,5,9,3,10
18110206,5,10,2,3,4
18110207,8,2,1,3,11
18110208,11,4,9,6,7
18110209,11,9,4,2,1
18110210,6,3,7,9,4
18110211,8,2,3,7,6
18110212,2,5,4,7,11
18110213,8,4,5,9,1
18110214,7,6,10,1,5
18110215,11,6,2,3,5
18110216,10,8,11,6,9
18110217,4,3,11,9,8
18110218,2,7,5,1,3
18110219,4,8,9,7,11
18110220,9,4,1,7,3
18110221,4,6,9,8,11
18110222,10,2,1,4,7
18110223,3,2,4,8,10
18110224,6,1,4,8,9
18110225,8,5,7,1,4
18110226,2,1,7,5,6
18110227,1,7,9,8,3
18110228,10,8,1,5,9
18110229,5,10,2,4,3
18110230,10,11,1,9,4
18110231,2,11,7,4,8
18110232,7,8,10,1,2
18110233,10,1,11,6,4
18110234,10,7,5,8,2
18110235,1,3,7,11,2
18110236,8,9,5,11,3
18110237,3,10,7,2,9
18110238,1,9,6,7,5
18110239,11,10,7,1,4
18110240,8,4,11,10,1
18110241,2,6,10,7,5
18110242,3,2,7,5,4
18110243,1,9,7,11,6
18110244,9,4,8,10,3
18110245,9,1,4,6,3
18110246,5,1,6,3,7
18110247,2,9,10,3,7
18110248,8,10,9,7,11
18110249,1,2,8,7,3
18110250,11,7,10,8,5
18110251,6,10,9,2,11
18110252,8,6,4,3,1
18110253,11,8,2,9,7
18110254,10,3,7,6,8
